paper_a_id,paper_a_title,paper_a_venue,paper_a_year,paper_b_id,paper_b_title,paper_b_venue,paper_b_year,task_overlap,module_diversity,weakness_coverage,benchmark_overlap,open_source_bonus,narrative_bonus,redundancy_penalty,disconnect_penalty,total_score,rationale,hypothesis_stub
A02,OLMo: Accelerating the Science of Language Models,arXiv,2024,A04,OpenELM: An Efficient Language Model Family with Open-source Training and Inference Framework,arXiv,2024,0.3636,0.9444,0.0,0.6,1.0,1.0,0.0,0.0,58.7,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use open data pipeline from A02 with layer-wise scaling from A04 for frontier llm training, targeting smaller scale as the main gain hypothesis."
A02,OLMo: Accelerating the Science of Language Models,arXiv,2024,A05,The FineWeb Datasets: Decanting the Web for the Finest Text Data at Scale,arXiv,2024,0.4,0.9375,0.0,0.5,1.0,1.0,0.0,0.0,58.44,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use open data pipeline from A02 with web filtering from A05 for frontier llm training, targeting web bias as the main gain hypothesis."
A10,DeepSeek-V3 Technical Report,arXiv,2024,B06,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,arXiv,2025,0.25,1.0,0.0588,0.5714,1.0,1.0,0.0,0.0,58.14,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use MoE routing from A10 with RLVR from B06 for frontier llm training, targeting verbose traces as the main gain hypothesis."
A07,Magpie: Alignment Data Synthesis from Scratch by Prompting Aligned LLMs with Nothing,ICLR 2025,2024,B04,Meta-Rewarding Language Models: Self-Improving Alignment with LLM-as-a-Meta-Judge,EMNLP 2025,2024,0.3636,1.0,0.0,1.0,0.4,1.0,0.0,0.0,58.09,shared task signal; different mechanism families; evaluation overlap is available; partial code availability,"Use aligned teacher prompting from A07 with meta-judge from B04 for frontier llm training, targeting extra judge-training cost as the main gain hypothesis."
A03,2 OLMo 2 Furious,arXiv,2025,A05,The FineWeb Datasets: Decanting the Web for the Finest Text Data at Scale,arXiv,2024,0.4,1.0,0.0,0.2857,1.0,1.0,0.0,0.0,57.86,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use data curation from A03 with web filtering from A05 for frontier llm training, targeting web bias as the main gain hypothesis."
A08,"DeepSeek-V2: A Strong, Economical, and Efficient Mixture-of-Experts Language Model",arXiv,2024,A09,OLMoE: Open Mixture-of-Experts Language Models,arXiv,2024,0.3333,0.8667,0.0714,0.6,1.0,1.0,0.0,0.0,57.43,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use MoE routing from A08 with open MoE routing from A09 for frontier llm training, targeting smaller than proprietary frontier as the main gain hypothesis."
A07,Magpie: Alignment Data Synthesis from Scratch by Prompting Aligned LLMs with Nothing,ICLR 2025,2024,B02,Nemotron-4 340B Technical Report,arXiv,2024,0.5,0.7857,0.0588,0.4,1.0,1.0,0.0,0.0,57.32,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use aligned teacher prompting from A07 with synthetic data generation from B02 for frontier llm training, targeting heavy teacher stack as the main gain hypothesis."
A01,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,arXiv,2024,A08,"DeepSeek-V2: A Strong, Economical, and Efficient Mixture-of-Experts Language Model",arXiv,2024,0.25,1.0,0.0,0.6,1.0,1.0,0.0,0.0,57.25,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use dense transformer from A01 with MoE routing from A08 for frontier llm training, targeting routing instability risk as the main gain hypothesis."
A07,Magpie: Alignment Data Synthesis from Scratch by Prompting Aligned LLMs with Nothing,ICLR 2025,2024,B01,Tulu 3: Pushing Frontiers in Open Language Model Post-Training,arXiv,2024,0.5556,0.8667,0.0,0.1667,1.0,1.0,0.0,0.0,57.22,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use aligned teacher prompting from A07 with SFT from B01 for frontier llm training, targeting reward quality ceiling as the main gain hypothesis."
A05,The FineWeb Datasets: Decanting the Web for the Finest Text Data at Scale,arXiv,2024,A06,DataComp-LM: In search of the next generation of training sets for language models,arXiv,2024,0.5556,0.9375,0.0667,0.4286,0.4,1.0,0.0,0.0,56.95,shared task signal; different mechanism families; evaluation overlap is available; partial code availability,"Use web filtering from A05 with data selection benchmark from A06 for frontier llm training, targeting expensive candidate scoring as the main gain hypothesis."
A08,"DeepSeek-V2: A Strong, Economical, and Efficient Mixture-of-Experts Language Model",arXiv,2024,C01,LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens,arXiv,2024,0.4545,1.0,0.0,0.0,1.0,1.0,0.0,0.0,56.36,shared task signal; different mechanism families; both papers appear open-source,"Use MoE routing from A08 with RoPE rescaling from C01 for frontier llm training, targeting short-context regression risk as the main gain hypothesis."
A01,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,arXiv,2024,A05,The FineWeb Datasets: Decanting the Web for the Finest Text Data at Scale,arXiv,2024,0.4,1.0,0.0,0.125,1.0,1.0,0.0,0.0,56.25,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use dense transformer from A01 with web filtering from A05 for frontier llm training, targeting web bias as the main gain hypothesis."
A02,OLMo: Accelerating the Science of Language Models,arXiv,2024,B01,Tulu 3: Pushing Frontiers in Open Language Model Post-Training,arXiv,2024,0.4,0.9375,0.0625,0.1429,1.0,1.0,0.0,0.0,56.12,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use open data pipeline from A02 with SFT from B01 for frontier llm training, targeting reward quality ceiling as the main gain hypothesis."
A07,Magpie: Alignment Data Synthesis from Scratch by Prompting Aligned LLMs with Nothing,ICLR 2025,2024,B06,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,arXiv,2025,0.4444,1.0,0.0,0.0,1.0,1.0,0.0,0.0,56.11,shared task signal; different mechanism families; both papers appear open-source,"Use aligned teacher prompting from A07 with RLVR from B06 for frontier llm training, targeting verbose traces as the main gain hypothesis."
D01,Mamba: Linear-Time Sequence Modeling with Selective State Spaces,arXiv,2023,D04,"Kimi Linear: An Expressive, Efficient Attention Architecture",arXiv,2025,0.4444,1.0,0.0,0.0,1.0,1.0,0.0,0.0,56.11,shared task signal; different mechanism families; both papers appear open-source,"Use selective state space from D01 with KDA from D04 for frontier llm training, targeting custom kernels as the main gain hypothesis."
A01,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,arXiv,2024,B01,Tulu 3: Pushing Frontiers in Open Language Model Post-Training,arXiv,2024,0.4,0.9286,0.0625,0.1429,1.0,1.0,0.0,0.0,55.89,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use dense transformer from A01 with SFT from B01 for frontier llm training, targeting reward quality ceiling as the main gain hypothesis."
A03,2 OLMo 2 Furious,arXiv,2025,B01,Tulu 3: Pushing Frontiers in Open Language Model Post-Training,arXiv,2024,0.4,0.9286,0.0625,0.1429,1.0,1.0,0.0,0.0,55.89,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use data curation from A03 with SFT from B01 for frontier llm training, targeting reward quality ceiling as the main gain hypothesis."
A03,2 OLMo 2 Furious,arXiv,2025,A04,OpenELM: An Efficient Language Model Family with Open-source Training and Inference Framework,arXiv,2024,0.3636,0.9375,0.0,0.3333,1.0,1.0,0.0,0.0,55.86,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use data curation from A03 with layer-wise scaling from A04 for frontier llm training, targeting smaller scale as the main gain hypothesis."
A08,"DeepSeek-V2: A Strong, Economical, and Efficient Mixture-of-Experts Language Model",arXiv,2024,B01,Tulu 3: Pushing Frontiers in Open Language Model Post-Training,arXiv,2024,0.25,1.0,0.0588,0.3333,1.0,1.0,0.0,0.0,55.76,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use MoE routing from A08 with SFT from B01 for frontier llm training, targeting reward quality ceiling as the main gain hypothesis."
A01,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,arXiv,2024,A04,OpenELM: An Efficient Language Model Family with Open-source Training and Inference Framework,arXiv,2024,0.5,0.8667,0.0,0.1429,1.0,1.0,0.0,0.0,55.6,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use dense transformer from A01 with layer-wise scaling from A04 for frontier llm training, targeting smaller scale as the main gain hypothesis."
A01,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,arXiv,2024,C01,LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens,arXiv,2024,0.3636,1.0,0.0714,0.0,1.0,1.0,0.0,0.0,55.52,shared task signal; different mechanism families; both papers appear open-source,"Use dense transformer from A01 with RoPE rescaling from C01 for frontier llm training, targeting short-context regression risk as the main gain hypothesis."
A09,OLMoE: Open Mixture-of-Experts Language Models,arXiv,2024,B01,Tulu 3: Pushing Frontiers in Open Language Model Post-Training,arXiv,2024,0.3636,1.0,0.0,0.1429,1.0,1.0,0.0,0.0,55.52,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use open MoE routing from A09 with SFT from B01 for frontier llm training, targeting reward quality ceiling as the main gain hypothesis."
A05,The FineWeb Datasets: Decanting the Web for the Finest Text Data at Scale,arXiv,2024,A09,OLMoE: Open Mixture-of-Experts Language Models,arXiv,2024,0.3636,0.9286,0.0,0.2857,1.0,1.0,0.0,0.0,55.16,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use web filtering from A05 with open MoE routing from A09 for frontier llm training, targeting smaller than proprietary frontier as the main gain hypothesis."
A04,OpenELM: An Efficient Language Model Family with Open-source Training and Inference Framework,arXiv,2024,A09,OLMoE: Open Mixture-of-Experts Language Models,arXiv,2024,0.3333,0.9375,0.0,0.3333,1.0,1.0,0.0,0.0,55.1,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use layer-wise scaling from A04 with open MoE routing from A09 for frontier llm training, targeting smaller than proprietary frontier as the main gain hypothesis."
A08,"DeepSeek-V2: A Strong, Economical, and Efficient Mixture-of-Experts Language Model",arXiv,2024,D01,Mamba: Linear-Time Sequence Modeling with Selective State Spaces,arXiv,2023,0.4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,55.0,shared task signal; different mechanism families; both papers appear open-source,"Use MoE routing from A08 with selective state space from D01 for frontier llm training, targeting tooling less mature than transformers as the main gain hypothesis."
C01,LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens,arXiv,2024,D01,Mamba: Linear-Time Sequence Modeling with Selective State Spaces,arXiv,2023,0.4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,55.0,shared task signal; different mechanism families; both papers appear open-source,"Use RoPE rescaling from C01 with selective state space from D01 for frontier llm training, targeting tooling less mature than transformers as the main gain hypothesis."
D01,Mamba: Linear-Time Sequence Modeling with Selective State Spaces,arXiv,2023,D03,Native Sparse Attention: Hardware-Aligned and Natively Trainable Sparse Attention,ACL 2025,2025,0.4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,55.0,shared task signal; different mechanism families; both papers appear open-source,"Use selective state space from D01 with native sparse attention from D03 for frontier llm training, targeting kernel engineering burden as the main gain hypothesis."
A04,OpenELM: An Efficient Language Model Family with Open-source Training and Inference Framework,arXiv,2024,A08,"DeepSeek-V2: A Strong, Economical, and Efficient Mixture-of-Experts Language Model",arXiv,2024,0.3333,0.9412,0.0769,0.1429,1.0,1.0,0.0,0.0,54.83,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use layer-wise scaling from A04 with MoE routing from A08 for frontier llm training, targeting routing instability risk as the main gain hypothesis."
B06,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,arXiv,2025,B07,Absolute Zero: Reinforced Self-play Reasoning with Zero Data,arXiv,2025,0.5,0.8571,0.0,0.6667,0.4,1.0,0.0,0.0,54.6,shared task signal; different mechanism families; evaluation overlap is available; partial code availability,"Use RLVR from B06 with self-play task generation from B07 for frontier llm training, targeting self-play distribution shift as the main gain hypothesis."
A02,OLMo: Accelerating the Science of Language Models,arXiv,2024,A10,DeepSeek-V3 Technical Report,arXiv,2024,0.3333,1.0,0.0625,0.0,1.0,1.0,0.0,0.0,54.58,shared task signal; different mechanism families; both papers appear open-source,"Use open data pipeline from A02 with MoE routing from A10 for frontier llm training, targeting huge systems complexity as the main gain hypothesis."
A04,OpenELM: An Efficient Language Model Family with Open-source Training and Inference Framework,arXiv,2024,A05,The FineWeb Datasets: Decanting the Web for the Finest Text Data at Scale,arXiv,2024,0.25,0.9333,0.0,0.5,1.0,1.0,0.0,0.0,54.58,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use layer-wise scaling from A04 with web filtering from A05 for frontier llm training, targeting web bias as the main gain hypothesis."
D01,Mamba: Linear-Time Sequence Modeling with Selective State Spaces,arXiv,2023,D02,Transformers are SSMs: Generalized Models and Efficient Algorithms Through Structured State Space Duality,ICML 2024,2024,0.5,0.8235,0.0,0.1429,1.0,1.0,0.0,0.0,54.52,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use selective state space from D01 with structured state space duality from D02 for frontier llm training, targeting translation to frontier LLM training is nontrivial as the main gain hypothesis."
A10,DeepSeek-V3 Technical Report,arXiv,2024,D02,Transformers are SSMs: Generalized Models and Efficient Algorithms Through Structured State Space Duality,ICML 2024,2024,0.2857,1.0,0.1111,0.0,1.0,1.0,0.0,0.0,54.37,shared task signal; different mechanism families; one strength may cover the other's weakness; both papers appear open-source,"Use MoE routing from A10 with structured state space duality from D02 for frontier llm training, targeting translation to frontier LLM training is nontrivial as the main gain hypothesis."
A02,OLMo: Accelerating the Science of Language Models,arXiv,2024,D01,Mamba: Linear-Time Sequence Modeling with Selective State Spaces,arXiv,2023,0.3,1.0,0.0,0.1667,1.0,1.0,0.0,0.0,54.17,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use open data pipeline from A02 with selective state space from D01 for frontier llm training, targeting tooling less mature than transformers as the main gain hypothesis."
D02,Transformers are SSMs: Generalized Models and Efficient Algorithms Through Structured State Space Duality,ICML 2024,2024,D03,Native Sparse Attention: Hardware-Aligned and Natively Trainable Sparse Attention,ACL 2025,2025,0.3077,1.0,0.0,0.1429,1.0,1.0,0.0,0.0,54.12,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use structured state space duality from D02 with native sparse attention from D03 for frontier llm training, targeting kernel engineering burden as the main gain hypothesis."
A04,OpenELM: An Efficient Language Model Family with Open-source Training and Inference Framework,arXiv,2024,D02,Transformers are SSMs: Generalized Models and Efficient Algorithms Through Structured State Space Duality,ICML 2024,2024,0.4167,0.9474,0.0,0.0,1.0,1.0,0.0,0.0,54.1,shared task signal; different mechanism families; both papers appear open-source,"Use layer-wise scaling from A04 with structured state space duality from D02 for frontier llm training, targeting translation to frontier LLM training is nontrivial as the main gain hypothesis."
A08,"DeepSeek-V2: A Strong, Economical, and Efficient Mixture-of-Experts Language Model",arXiv,2024,B02,Nemotron-4 340B Technical Report,arXiv,2024,0.2308,1.0,0.0,0.3333,1.0,1.0,0.0,0.0,54.1,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use MoE routing from A08 with synthetic data generation from B02 for frontier llm training, targeting heavy teacher stack as the main gain hypothesis."
A04,OpenELM: An Efficient Language Model Family with Open-source Training and Inference Framework,arXiv,2024,B01,Tulu 3: Pushing Frontiers in Open Language Model Post-Training,arXiv,2024,0.3636,1.0,0.0,0.0,1.0,1.0,0.0,0.0,54.09,shared task signal; different mechanism families; both papers appear open-source,"Use layer-wise scaling from A04 with SFT from B01 for frontier llm training, targeting reward quality ceiling as the main gain hypothesis."
A10,DeepSeek-V3 Technical Report,arXiv,2024,D01,Mamba: Linear-Time Sequence Modeling with Selective State Spaces,arXiv,2023,0.3636,1.0,0.0,0.0,1.0,1.0,0.0,0.0,54.09,shared task signal; different mechanism families; both papers appear open-source,"Use MoE routing from A10 with selective state space from D01 for frontier llm training, targeting tooling less mature than transformers as the main gain hypothesis."
A05,The FineWeb Datasets: Decanting the Web for the Finest Text Data at Scale,arXiv,2024,D01,Mamba: Linear-Time Sequence Modeling with Selective State Spaces,arXiv,2023,0.3,1.0,0.0,0.1429,1.0,1.0,0.0,0.0,53.93,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use web filtering from A05 with selective state space from D01 for frontier llm training, targeting tooling less mature than transformers as the main gain hypothesis."
A03,2 OLMo 2 Furious,arXiv,2025,B06,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,arXiv,2025,0.3,1.0,0.0625,0.0,1.0,1.0,0.0,0.0,53.75,shared task signal; different mechanism families; both papers appear open-source,"Use data curation from A03 with RLVR from B06 for frontier llm training, targeting verbose traces as the main gain hypothesis."
B06,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,arXiv,2025,D04,"Kimi Linear: An Expressive, Efficient Attention Architecture",arXiv,2025,0.3,1.0,0.0588,0.0,1.0,1.0,0.0,0.0,53.68,shared task signal; different mechanism families; both papers appear open-source,"Use RLVR from B06 with KDA from D04 for frontier llm training, targeting custom kernels as the main gain hypothesis."
A04,OpenELM: An Efficient Language Model Family with Open-source Training and Inference Framework,arXiv,2024,B02,Nemotron-4 340B Technical Report,arXiv,2024,0.2308,1.0,0.0667,0.1429,1.0,1.0,0.0,0.0,53.53,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use layer-wise scaling from A04 with synthetic data generation from B02 for frontier llm training, targeting heavy teacher stack as the main gain hypothesis."
A05,The FineWeb Datasets: Decanting the Web for the Finest Text Data at Scale,arXiv,2024,A07,Magpie: Alignment Data Synthesis from Scratch by Prompting Aligned LLMs with Nothing,ICLR 2025,2024,0.4,0.9375,0.0,0.0,1.0,1.0,0.0,0.0,53.44,shared task signal; different mechanism families; both papers appear open-source,"Use web filtering from A05 with aligned teacher prompting from A07 for frontier llm training, targeting teacher bias as the main gain hypothesis."
A01,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,arXiv,2024,A10,DeepSeek-V3 Technical Report,arXiv,2024,0.3333,1.0,0.0,0.0,1.0,1.0,0.0,0.0,53.33,shared task signal; different mechanism families; both papers appear open-source,"Use dense transformer from A01 with MoE routing from A10 for frontier llm training, targeting huge systems complexity as the main gain hypothesis."
A03,2 OLMo 2 Furious,arXiv,2025,A10,DeepSeek-V3 Technical Report,arXiv,2024,0.3333,1.0,0.0,0.0,1.0,1.0,0.0,0.0,53.33,shared task signal; different mechanism families; both papers appear open-source,"Use data curation from A03 with MoE routing from A10 for frontier llm training, targeting huge systems complexity as the main gain hypothesis."
A04,OpenELM: An Efficient Language Model Family with Open-source Training and Inference Framework,arXiv,2024,C01,LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens,arXiv,2024,0.3333,1.0,0.0,0.0,1.0,1.0,0.0,0.0,53.33,shared task signal; different mechanism families; both papers appear open-source,"Use layer-wise scaling from A04 with RoPE rescaling from C01 for frontier llm training, targeting short-context regression risk as the main gain hypothesis."
A05,The FineWeb Datasets: Decanting the Web for the Finest Text Data at Scale,arXiv,2024,A10,DeepSeek-V3 Technical Report,arXiv,2024,0.3333,1.0,0.0,0.0,1.0,1.0,0.0,0.0,53.33,shared task signal; different mechanism families; both papers appear open-source,"Use web filtering from A05 with MoE routing from A10 for frontier llm training, targeting huge systems complexity as the main gain hypothesis."
B06,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,arXiv,2025,D01,Mamba: Linear-Time Sequence Modeling with Selective State Spaces,arXiv,2023,0.3333,1.0,0.0,0.0,1.0,1.0,0.0,0.0,53.33,shared task signal; different mechanism families; both papers appear open-source,"Use RLVR from B06 with selective state space from D01 for frontier llm training, targeting tooling less mature than transformers as the main gain hypothesis."
D02,Transformers are SSMs: Generalized Models and Efficient Algorithms Through Structured State Space Duality,ICML 2024,2024,D04,"Kimi Linear: An Expressive, Efficient Attention Architecture",arXiv,2025,0.3333,1.0,0.0,0.0,1.0,1.0,0.0,0.0,53.33,shared task signal; different mechanism families; both papers appear open-source,"Use structured state space duality from D02 with KDA from D04 for frontier llm training, targeting custom kernels as the main gain hypothesis."
A09,OLMoE: Open Mixture-of-Experts Language Models,arXiv,2024,A10,DeepSeek-V3 Technical Report,arXiv,2024,0.4167,0.8667,0.0588,0.0,1.0,1.0,0.0,0.0,53.26,shared task signal; different mechanism families; both papers appear open-source,"Use open MoE routing from A09 with MoE routing from A10 for frontier llm training, targeting huge systems complexity as the main gain hypothesis."
A04,OpenELM: An Efficient Language Model Family with Open-source Training and Inference Framework,arXiv,2024,D03,Native Sparse Attention: Hardware-Aligned and Natively Trainable Sparse Attention,ACL 2025,2025,0.3333,0.9412,0.0667,0.0,1.0,1.0,0.0,0.0,53.2,shared task signal; different mechanism families; both papers appear open-source,"Use layer-wise scaling from A04 with native sparse attention from D03 for frontier llm training, targeting kernel engineering burden as the main gain hypothesis."
A02,OLMo: Accelerating the Science of Language Models,arXiv,2024,A08,"DeepSeek-V2: A Strong, Economical, and Efficient Mixture-of-Experts Language Model",arXiv,2024,0.25,0.9444,0.0,0.3333,1.0,1.0,0.0,0.0,53.19,shared task signal; different mechanism families; evaluation overlap is available; both papers appear open-source,"Use open data pipeline from A02 with MoE routing from A08 for frontier llm training, targeting routing instability risk as the main gain hypothesis."
B02,Nemotron-4 340B Technical Report,arXiv,2024,B06,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,arXiv,2025,0.2727,1.0,0.0667,0.0,1.0,1.0,0.0,0.0,53.15,shared task signal; different mechanism families; both papers appear open-source,"Use synthetic data generation from B02 with RLVR from B06 for frontier llm training, targeting verbose traces as the main gain hypothesis."
C01,LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens,arXiv,2024,C02,Titans: Learning to Memorize at Test Time,arXiv,2025,0.3636,1.0,0.0,0.5,0.4,1.0,0.0,0.0,53.09,shared task signal; different mechanism families; evaluation overlap is available; partial code availability,"Use RoPE rescaling from C01 with neural memory from C02 for frontier llm training, targeting memory optimization complexity as the main gain hypothesis."
